title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
Star Trek: The Next Generation,1987,44,TV Show,United States,English,8.6,104431,1993,children,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Heartland,2007,45,TV Show,Canada,English,8.4,10758,2019,teen,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Good Girls,2018,43,TV Show,United States,English,7.8,36845,2020,adult,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad Men,2007,47,TV Show,United States,English,8.6,213294,2014,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoJack Horseman,2014,25,TV Show,United States,English,8.7,120461,2020,adult,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverdale,2017,45,TV Show,United States,English,6.8,124859,2019,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sex Education,2019,45,TV Show,United Kingdom,English,8.3,170610,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Umbrella Academy,2019,60,TV Show,United States,English,8.0,170324,2020,teen,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Space,2020,45,TV Show,Israel,Hebrew,7.0,594,2021,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lupin,2021,231,TV Show,France,French,7.6,65279,2021,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrow,2012,42,TV Show,United States,English,7.5,412168,2019,teen,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sinner,2017,45,TV Show,United States,English,7.9,95098,2020,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sherlock,2010,88,TV Show,United Kingdom,English,9.1,829203,2017,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Arrested Development,2003,22,TV Show,United States,English,8.7,281595,2019,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time,2011,60,TV Show,United States,English,7.7,211103,2019,teen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Ginny & Georgia,2021,\N,TV Show,United States,English,7.5,32665,2021,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin River,2019,44,TV Show,United States,English,7.5,22756,2021,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I Care a Lot,2020,118,Movie,United States,English,6.3,101431,2021,adult,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Supergirl,2015,43,TV Show,United States,English,6.2,114178,2019,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
