title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
Pants on Fire,2014,85,Movie,Canada,English,5.2,886,2014,children,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Great Train Robbery,2013,90,TV Show,United Kingdom,English,7.4,3599,2013,adult,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenox Hill,2020,\N,TV Show,United States,English,8.7,1949,2020,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultras,2020,108,Movie,Italy,Italian,5.9,4346,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxanne Roxanne,2017,100,Movie,United States,English,6.2,2886,2018,adult,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Criminal: Germany,2019,59,TV Show,Germany,German,7.7,4478,2019,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Torbaaz,2020,133,Movie,India,Hindi,6.8,5285,2020,adult,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pokémon: Mewtwo Strikes Back - Evolution,2019,98,Movie,Japan,Japanese,5.7,4728,2019,children,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
K,2012,24,TV Show,Japan,Japanese,7.1,2026,2012,adult,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunjan Saxena: The Kargil Girl,2020,112,Movie,India,Hindi,5.3,24960,2020,teen,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handsome: A Netflix Mystery Movie,2017,80,Movie,United States,English,5.2,4084,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6 Balloons,2018,74,Movie,United States,English,5.9,3790,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seven in Heaven,2018,94,Movie,United States,English,5.3,2432,2018,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Beneath the Leaves,2019,90,Movie,United States,English,4.6,1343,2019,adult,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dogs,2017,94,Movie,Mexico,English,6.3,1903,2017,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Family,2019,249,TV Show,United States,English,6.4,3129,2019,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Whitehall: Travels with My Father,2017,30,TV Show,United Kingdom,English,7.7,4150,2021,adult,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,2014,98,Movie,Canada,English,7.1,12235,2014,adult,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scare Tactics,2003,\N,TV Show,United States,English,6.7,2369,2011,adult,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hell and Back,2015,86,Movie,United States,English,5.4,4759,2015,adult,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneakerheads,2020,\N,TV Show,United States,English,6.2,1114,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Happy Old Year,2019,113,Movie,Thailand,Thai,7.2,1720,2019,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neo Yokio,2017,23,TV Show,United States,English,5.8,3113,2018,adult,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fugitiva,2018,60,TV Show,Spain,Spanish,5.7,563,2018,adult,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract: The Art of Design,2017,45,TV Show,United States,English,8.4,4953,2019,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali's Wedding,2017,110,Movie,Australia,English,6.9,4569,2018,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Come Sunday,2018,106,Movie,United States,English,6.0,2075,2018,teen,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 Humans,2020,\N,TV Show,United States,English,5.7,3360,2020,teen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accidentally in Love,2018,30,TV Show,China,Mandarin,7.6,880,2018,teen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Burning Sands,2017,96,Movie,United States,English,6.1,2623,2017,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleditch & Schwartz,2020,51,TV Show,United States,English,8.7,4043,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madaari,2016,133,Movie,India,Hindi,7.6,13657,2016,teen,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spivak,2018,91,Movie,United States,English,5.6,636,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Mind, Explained",2019,20,TV Show,United States,English,8.0,4295,2019,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter on Fire: Ukraine's Fight for Freedom,2015,102,Movie,United Kingdom,Ukrainian,8.4,13323,2015,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Love: Six Stories of True Love,2021,\N,TV Show,United States,Portuguese,7.5,207,2021,children,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Social Distance,2020,\N,TV Show,United States,English,5.7,559,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duck Duck Goose,2018,91,Movie,China,English,5.8,3255,2018,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Are the Champions,2020,30,TV Show,United States,English,7.1,1115,2020,adult,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Grandmaster,2012,100,Movie,India,Malayalam,7.0,1975,2012,teen,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Numberblocks,2017,5,TV Show,United Kingdom,English,8.1,120,2021,children,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannah Gadsby: Nanette,2018,69,Movie,Australia,English,8.3,10648,2018,adult,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Kaylie,2019,\N,TV Show,United States,English,4.4,248,2020,children,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Inheritance,2017,104,Movie,United States,English,5.7,10162,2017,children,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Secret Love,2020,81,Movie,United States,English,7.9,3668,2020,teen,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The World's Most Extraordinary Homes,2017,59,TV Show,United Kingdom,English,7.6,3042,2019,children,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ungli,2014,114,Movie,India,Hindi,5.7,3661,2014,teen,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Strip Down, Rise Up",2021,112,Movie,United States,English,5.2,492,2021,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Jack,2015,81,Movie,United States,English,7.0,3042,2015,adult,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mostly Sunny,2016,83,Movie,Canada,English,5.4,672,2016,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Chappelle: Sticks & Stones,2019,65,Movie,United States,English,8.5,22288,2019,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alles ist gut,2018,90,Movie,Germany,German,6.5,1247,2019,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Sono,2020,43,TV Show,South Africa,Russian,6.0,1038,2020,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Big Women,2020,123,Movie,Taiwan,Mandarin,7.3,1662,2020,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loev,2015,92,Movie,India,Hindi,5.8,2426,2015,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Savage Dog,2017,94,Movie,United States,English,5.0,2954,2017,adult,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budapest,2018,102,Movie,France,Hungarian,5.4,2445,2018,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God Eater,2015,24,TV Show,Japan,Japanese,7.0,1653,2015,teen,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Devil and Father Amorth,2017,68,Movie,Italy,English,4.6,2104,2017,children,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Sam,2019,89,Movie,United States,English,5.7,2575,2019,children,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo Trial,2016,45,TV Show,Canada,Japanese,7.4,1194,2017,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hasmukh,2020,34,TV Show,India,Hindi,5.3,2408,2020,adult,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Investigator: A British Crime Story,2016,47,TV Show,United Kingdom,English,5.7,1588,2018,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Brawler,2018,95,Movie,United States,English,4.8,464,2019,adult,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MeatEater,2012,21,TV Show,United States,English,7.7,1216,2021,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circus of Books,2019,92,Movie,United States,English,7.1,3863,2020,adult,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Battered Bastards of Baseball,2014,80,Movie,United States,English,8.0,3564,2014,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Break,2018,96,Movie,France,French,5.9,942,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sword Art Online Alternative: Gun Gale Online,2018,24,TV Show,Japan,Japanese,6.9,1769,2018,adult,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las muñecas de la mafia,2009,\N,TV Show,Colombia,Spanish,6.6,240,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Stranded,2019,40,TV Show,Thailand,Thai,6.3,1041,2019,adult,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pyaar Ka Punchnama 2,2015,137,Movie,India,Hindi,7.2,14242,2015,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roll Red Roll,2018,80,Movie,United States,English,7.1,2176,2018,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gigantosaurus,2019,22,TV Show,France,English,7.1,112,2019,children,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manson Family Vacation,2015,84,Movie,United States,English,5.8,2725,2015,adult,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Big Bear,2017,88,Movie,United States,English,5.1,1228,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huge in France,2019,30,TV Show,United States,English,6.8,2442,2019,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Innocence Files,2020,573,TV Show,United States,English,8.0,2239,2020,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Polo: One Hundred Eyes,2015,28,Movie,United States,English,7.8,9994,2015,adult,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Golem,2018,95,Movie,Israel,English,5.6,4186,2018,adult,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbie Dreamhouse Adventures,2018,22,TV Show,United States,English,6.8,392,2018,children,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Bleeding Edge,2018,99,Movie,Australia,English,7.6,2315,2018,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle,2018,95,Movie,Norway,Norwegian,6.0,3855,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
First Match,2018,102,Movie,United States,English,6.4,2041,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hangman,2015,85,Movie,United Kingdom,English,4.7,2136,2017,adult,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Malibu Rescue: The Next Wave,2020,68,Movie,United States,English,4.8,635,2020,children,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The King's Avatar,2019,45,TV Show,China,Mandarin,8.2,782,2019,adult,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Disastrous Life of Saiki K.: Reawakened,2019,\N,TV Show,Japan,Japanese,7.9,1035,2019,teen,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Cocaine Island,2018,83,Movie,United States,English,6.3,2985,2019,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Date,2017,20,TV Show,United States,English,7.2,554,2018,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taj Mahal 1989,2020,33,TV Show,India,Hindi,7.5,1316,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wish You,2021,102,Movie,South Korea,Korean,6.5,368,2021,children,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Home,2014,91,Movie,United States,English,4.8,6855,2015,children,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Classmates Minus,2020,122,Movie,Taiwan,Chinese,7.2,1071,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock My Heart,2017,105,Movie,Germany,German,6.5,812,2019,children,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiny House Nation,2014,43,TV Show,United States,English,7.2,928,2019,children,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"That Winter, the Wind Blows",2013,65,TV Show,South Korea,Korean,7.7,1507,2013,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Is Where the Killer Is,2019,87,Movie,United States,English,4.4,460,2019,teen,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Love Per Square Foot,2018,133,Movie,India,Hindi,7.2,7577,2018,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Booba,2014,96,TV Show,United Kingdom,None,6.9,309,2021,children,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyena,2020,60,TV Show,South Korea,Korean,7.8,575,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Next in Fashion,2020,50,TV Show,United States,English,7.3,2986,2020,teen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Wedding Planner,2017,86,Movie,Canada,English,4.4,5221,2017,children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
John Mulaney: Kid Gorgeous at Radio City,2018,65,Movie,United States,English,8.0,6741,2018,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The 24 Hour War,2016,99,Movie,United States,English,7.2,2036,2016,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
The Confession Tapes,2017,46,TV Show,United States,English,7.5,4939,2019,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uma Maheswara Ugra Roopasya,2020,136,Movie,India,Telugu,7.8,1376,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Into the Inferno,2016,104,Movie,United Kingdom,English,7.2,7791,2016,children,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magic for Humans,2018,23,TV Show,United States,English,7.2,3049,2020,teen,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurants on the Edge,2019,\N,TV Show,Canada,English,6.8,845,2020,teen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The School Nurse Files,2020,51,TV Show,South Korea,Korean,6.5,873,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Crack: Cocaine, Corruption & Conspiracy",2021,89,Movie,United States,English,6.7,2640,2021,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bikram: Yogi, Guru, Predator",2019,86,Movie,United States,English,6.7,6014,2019,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro,2016,105,Movie,Spain,Spanish,5.9,3010,2016,adult,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Ghosts,2021,20,TV Show,United States,English,8.0,153,2021,children,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flint Town,2018,45,TV Show,United States,English,7.9,3330,2018,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Journey Is the Destination,2016,123,Movie,United States,English,6.3,528,2016,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axone,2019,104,Movie,India,Hindi,7.0,1970,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abby Hatcher,2018,23,TV Show,United States,English,5.6,102,2019,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrs. Serial Killer,2020,106,Movie,India,Hindi,4.8,11523,2020,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pottersville,2017,84,Movie,United States,English,5.4,4067,2017,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Plastic Ocean,2016,102,Movie,United Kingdom,English,8.0,2690,2016,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel Transylvania,2017,21,TV Show,United States,English,5.5,537,2017,children,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Love Aaj Kal,2020,142,Movie,India,Hindi,4.7,6978,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Christmas Prince: The Royal Baby,2019,84,Movie,United States,English,5.4,5489,2019,children,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Dolly Kitty Aur Woh Chamakte Sitare,2019,126,Movie,India,Hindi,5.4,4743,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Boxes,2016,84,Movie,United States,English,5.9,1725,2016,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namaste Wahala,2020,106,Movie,Nigeria,English,5.1,820,2021,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dawn of the Croods,2015,23,TV Show,United States,English,6.0,562,2017,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperdrive,2019,29,TV Show,United States,English,8.1,2304,2019,children,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History 101,2020,22,TV Show,United Kingdom,English,6.8,3438,2020,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ricky Gervais: Humanity,2018,79,Movie,United Kingdom,English,8.0,15885,2018,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patriot Act with Hasan Minhaj,2018,25,TV Show,United States,English,8.3,6687,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Victims' Game,2020,\N,TV Show,Taiwan,Mandarin,7.4,1029,2020,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Forks Over Knives,2011,96,Movie,United States,English,7.7,11844,2011,children,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercy,2016,90,Movie,United States,English,4.2,3089,2016,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Shaitan,2011,121,Movie,India,Hindi,7.2,8134,2011,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shéhérazade,2018,109,Movie,France,French,7.1,1724,2019,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Berlin Calling,2008,109,Movie,Germany,German,7.2,13871,2008,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Worn Stories,2021,30,TV Show,United States,English,6.6,231,2021,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial 4,2020,437,TV Show,United States,English,7.4,1693,2020,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virunga,2014,100,Movie,United Kingdom,English,8.2,10668,2014,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soni,2018,97,Movie,India,Hindi,7.2,2523,2018,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loaded,2017,41,TV Show,United Kingdom,English,6.6,1266,2017,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Lords,2018,42,TV Show,United States,English,6.8,1118,2018,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Historical Roasts,2019,30,TV Show,United States,English,5.3,1558,2019,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaali Khuhi,2020,90,Movie,India,Hindi,3.4,1029,2020,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Chip and Potato,2018,23,TV Show,United Kingdom,English,6.2,107,2019,children,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casting JonBenet,2017,80,Movie,United States,English,6.1,5096,2017,teen,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Acaster: Repertoire,2018,205,TV Show,United Kingdom,English,8.5,2807,2018,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba and the Cameraman,2017,113,Movie,United States,English,8.3,3927,2017,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inside Bill's Brain: Decoding Bill Gates,2019,52,TV Show,United States,English,7.9,9733,2019,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criminal: Spain,2019,40,TV Show,Spain,Spanish,6.9,3590,2019,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,54,Movie,United States,English,6.7,1950,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Goedam,2020,10,TV Show,South Korea,Korean,5.7,659,2020,adult,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Borderline,2016,30,TV Show,United Kingdom,English,7.2,1396,2017,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Night Stand,2016,97,Movie,India,Hindi,3.1,1164,2016,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sugar Rush,2018,\N,TV Show,United States,English,7.0,1261,2020,children,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LoliRock,2014,26,TV Show,South Korea,English,7.3,363,2016,children,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream Home Makeover,2020,\N,TV Show,United States,English,5.6,858,2021,children,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Forest,2016,109,Movie,Thailand,Thai,6.4,271,2016,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Citation,2020,151,Movie,Nigeria,English,6.2,844,2020,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Boss Baby: Get That Baby!,2020,24,Movie,United States,English,5.1,152,2020,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invisible,2017,87,Movie,Argentina,Spanish,6.0,697,2017,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
