type,title,release_year,movie_rating
TV Show,The Mire,2021,adult
Movie,This Little Love Of Mine,2021,children
Movie,A Land Imagined,2019,adult
TV Show,Ask the StoryBots,2019,children
TV Show,Between,2016,teen
TV Show,Chelsea,2017,adult
TV Show,Code Lyoko,2007,children
TV Show,Colony,2018,teen
TV Show,Cuckoo,2019,adult
TV Show,Derry Girls,2019,adult
TV Show,Girl from Nowhere,2021,adult
TV Show,Good Morning Call,2017,teen
Movie,Har Kisse Ke Hisse: Kaamyaab,2020,teen
TV Show,I AM A KILLER,2020,adult
TV Show,I Think You Should Leave with Tim Robinson,2021,adult
TV Show,Kim's Convenience,2021,adult
TV Show,Larva,2015,children
TV Show,Marcella,2019,adult
TV Show,Midnight Diner: Tokyo Stories,2019,adult
TV Show,My Little Pony: Friendship Is Magic,2018,children
TV Show,Orange Is the New Black,2019,adult
TV Show,Puffin Rock,2016,children
Movie,Rehmataan,2012,teen
Movie,Return of the Prodigal Son,1976,adult
TV Show,Richie Rich,2015,children
Movie,Rise: Ini Kalilah,2018,children
TV Show,Scream,2019,adult
TV Show,Shtisel,2021,teen
Movie,Si Doel the Movie 2,2019,children
TV Show,Some Assembly Required,2015,children
TV Show,Tales by Light,2018,teen
TV Show,Terrace House: Opening New Doors,2018,teen
TV Show,The A List,2021,children
TV Show,The New Legends of Monkey,2020,children
TV Show,The Worst Witch,2020,children
Movie,Truckbhar Swapna,2018,teen
Movie,Ujala,1959,teen
TV Show,Undercover,2020,adult
TV Show,Workin' Moms,2021,adult
TV Show,YooHoo to the Rescue,2020,children
TV Show,We the People,2021,children
TV Show,Grey's Anatomy,2020,teen
Movie,Haseen Dillruba,2021,adult
TV Show,Mortel,2019,adult
Movie,RattleSnake - The Ahanna Story,2020,adult
Movie,Snowpiercer,2013,adult
Movie,The 8th Night,2021,teen
Movie,Winchester,2018,teen
Movie,6 Bullets,2012,adult
Movie,Air Force One,1997,adult
Movie,Austin Powers in Goldmember,2002,teen
Movie,Austin Powers: International Man of Mystery,1997,teen
Movie,Austin Powers: The Spy Who Shagged Me,1999,teen
Movie,Boogie Nights,1997,adult
TV Show,Bureau of Magical Things,2020,children
Movie,Charlie's Angels,2000,teen
Movie,Congo,1995,teen
Movie,Dennis the Menace,1993,children
Movie,Dreamy Eyes,2019,teen
Movie,Hampstead,2019,teen
Movie,Kung Fu Panda,2008,children
Movie,Kung Fu Panda 2,2011,children
Movie,Life as We Know It,2010,teen
Movie,Mary Magdalene,2019,adult
Movie,Memoirs of a Geisha,2005,teen
Movie,Midnight Run,1988,adult
Movie,Mortal Kombat,1995,teen
Movie,Mother's Day,2016,teen
Movie,No Strings Attached,2011,adult
Movie,Not Another Teen Movie,2001,adult
Movie,Ophelia,2018,teen
TV Show,Rainbow Rangers,2018,children
Movie,Red Joan,2019,adult
Movie,Seven Pounds,2008,teen
Movie,She's Out of My League,2010,adult
Movie,Snow Day,2000,children
Movie,Star Trek,2009,teen
Movie,Stuart Little,1999,children
Movie,Sword of Trust,2019,adult
Movie,Talladega Nights: The Ballad of Ricky Bobby,2006,teen
Movie,The American,2010,adult
Movie,The Best of Enemies,2019,teen
Movie,The Game,1997,adult
Movie,The Karate Kid,1984,children
Movie,The Karate Kid Part II,1986,children
Movie,The Karate Kid Part III,1989,children
Movie,The Life of David Gale,2003,adult
Movie,The Long Riders,1980,adult
Movie,The Queen,2006,teen
Movie,The Strangers,2008,adult
Movie,The Sum of All Fears,2002,teen
Movie,The Tourist,2010,teen
Movie,Underworld,2003,adult
Movie,Underworld: Awakening,2012,adult
Movie,Underworld: Rise of the Lycans,2009,adult
Movie,Voiceless,2020,adult
Movie,What Dreams May Come,1998,teen
Movie,Why Do Fools Fall in Love,1998,adult
TV Show,Young Royals,2021,adult
Movie,America: The Motion Picture,2021,adult
TV Show,Droppin' Cash: Los Angeles,2019,adult
Movie,Lying and Stealing,2019,adult
TV Show,Somos.,2021,adult
TV Show,The Daily Life of the Immortal King,2020,teen
TV Show,StarBeam,2021,children
Movie,Killing Them Softly,2012,adult
TV Show,The Seven Deadly Sins,2021,teen
Movie,Wonder Boy,2019,teen
Movie,Here Comes the Rain,2010,adult
Movie,The Ice Road,2021,teen
TV Show,Sex/Life,2021,adult
TV Show,The Naked Director,2021,adult
Movie,The Seventh Day,2021,adult
TV Show,Too Hot to Handle,2021,adult
Movie,O Vendedor de Sonhos,2016,teen
Movie,Osuofia in London,2003,adult
Movie,#Selfie,2014,adult
Movie,#Selfie 69,2016,adult
Movie,Love Is a Story,2015,adult
TV Show,The Mole,2001,teen
TV Show,Bangkok Love Stories: Innocence,2018,teen
TV Show,Black Lightning,2021,teen
TV Show,Call My Agent!,2018,adult
TV Show,Champions,2018,teen
TV Show,Cleo & Cuquin,2020,children
TV Show,Deadwind,2020,adult
TV Show,Glee,2015,teen
TV Show,Hap and Leonard,2018,adult
TV Show,Locked Up,2020,adult
TV Show,No Time for Shame,2019,adult
TV Show,Pose,2019,adult
TV Show,REA(L)OVE,2018,adult
TV Show,Riverdale,2019,teen
TV Show,Schitt's Creek,2020,adult
TV Show,The Assassination of Gianni Versace,2018,adult
TV Show,The Judgement,2018,adult
TV Show,The Last Dance,2020,adult
TV Show,They've Gotta Have Us,2018,adult
TV Show,Why Are You Like This,2021,adult
TV Show,Elite,2021,adult
Movie,Fatherhood,2021,teen
TV Show,Hospital Playlist,2021,teen
Movie,Kambili: The Whole 30 Yards,2020,teen
Movie,Aziza,2019,children
TV Show,Black Summer,2021,adult
Movie,Fan Girl,2020,adult
TV Show,Katla,2021,adult
Movie,Red Snow,2019,adult
Movie,Silver Linings Playbook,2012,adult
TV Show,The Gift,2021,adult
Movie,Biking Borders,2019,teen
Movie,Lowriders,2016,teen
TV Show,Millennials,2020,adult
Movie,Security,2021,adult
TV Show,Avengers Climate Conundrum,2020,children
Movie,FTA,1972,adult
Movie,Life of Crime,2013,adult
TV Show,Power Rangers Dino Fury,2021,children
Movie,Rogue Warfare: Death of a Nation,2020,adult
Movie,Sir! No Sir!,2005,adult
TV Show,The American Bible Challenge,2014,children
Movie,The Reason I Jump,2021,teen
TV Show,Metallica: Some Kind of Monster,2014,adult
Movie,Picture a Scientist,2020,adult
Movie,The Devil Below,2021,adult
TV Show,Love (ft. Marriage and Divorce),2021,teen
TV Show,LEGO Friends: The Power of Friendship,2016,children
TV Show,Lupin,2021,adult
Movie,Sarbath,2021,children
Movie,Skater Girl,2021,children
TV Show,Trese,2021,adult
Movie,Wish Dragon,2021,children
Movie,A Haunted House 2,2014,adult
Movie,Blind Intersections,2012,adult
Movie,Camellia Sisters,2021,adult
Movie,Copenhagen,2014,adult
TV Show,Locombianos,2021,adult
Movie,Until Midnight,2019,teen
Movie,Awake,2021,adult
Movie,Confusion Na Wa,2013,adult
TV Show,"Fresh, Fried & Crispy",2021,children
TV Show,L.A.’s Finest,2021,adult
Movie,Tragic Jungle,2021,adult
Movie,Vampire Academy,2014,teen
TV Show,"Newly Rich, Newly Poor",2007,adult
Movie,A Private War,2018,adult
Movie,Kitty Love: An Homage to Cats,2021,children
Movie,Small Chops,2020,adult
Movie,Breaking Boundaries: The Science Of Our Planet,2021,children
TV Show,Feel Good,2021,adult
Movie,Sweet & Sour,2021,teen
TV Show,Sweet Tooth,2021,teen
Movie,Trippin' with the Kandasamys,2021,teen
Movie,Xtreme,2021,adult
Movie,Alan Saldaña: Locked Up,2021,adult
TV Show,Creator's File: GOLD,2021,teen
Movie,Dancing Queens,2021,adult
Movie,From Stress to Happiness,2020,children
Movie,Myriam Fares: The Journey,2021,teen
TV Show,Summertime,2021,adult
Movie,The Girl and the Gun,2019,adult
Movie,2 Hearts,2020,teen
Movie,A Perfect Ending,2012,adult
Movie,American Outlaws,2001,teen
Movie,And Then Came Lola,2009,adult
TV Show,Attack on Titan,2013,adult
Movie,Battlefield Earth,2000,teen
TV Show,Ben & Holly's Little Kingdom,2019,children
Movie,Bliss,1997,adult
Movie,Carnaval,2021,adult
Movie,Cloudburst,2011,adult
TV Show,Cocomelon,2021,children
Movie,Company of Heroes,2013,adult
Movie,Cradle 2 the Grave,2003,adult
Movie,Domestic Disturbance,2001,teen
TV Show,Downton Abbey,2015,teen
Movie,Dream/Killer,2015,adult
Movie,Felon,2008,adult
Movie,Flipped,2010,children
Movie,Fools Rush In,1997,teen
Movie,Gold Statue,2019,teen
TV Show,Happy Endings,2012,teen
Movie,Hostel: Part III,2011,adult
Movie,I Am Sam,2001,teen
Movie,Love Jones,1997,adult
Movie,Million Dollar Baby,2004,teen
Movie,Mosquita y Mari,2012,teen
Movie,Never Back Down 2: The Beatdown,2011,adult
Movie,Ninja Assassin,2009,adult
TV Show,Ouran High School Host Club,2006,children
Movie,Population 436,2006,adult
Movie,Sniper: Legacy,2014,adult
Movie,Starsky & Hutch,2004,teen
Movie,Streets of Fire,1984,children
Movie,Swordfish,2001,adult
TV Show,The Adventures of Sonic the Hedgehog,1993,children
Movie,The Four Seasons,1981,children
Movie,The Interpreter,2005,teen
Movie,The Meddler,2015,teen
Movie,The Mirror Has Two Faces,1996,teen
Movie,The Outlaw Josey Wales,1976,children
TV Show,The Platform,2021,teen
Movie,The Wedding Guest,2018,adult
Movie,The Wind,2019,adult
Movie,Then Came You,2019,adult
Movie,Welcome Home,2018,adult
TV Show,Dirty John,2020,adult
Movie,Bo Burnham: Inside,2021,adult
Movie,Collateral Beauty,2016,teen
TV Show,The Kominsky Method,2021,adult
TV Show,Black Space,2021,adult
Movie,Blue Miracle,2021,children
Movie,Ghost Lab,2021,adult
TV Show,Ragnarok,2021,adult
Movie,Soy Rada: Serendipity,2021,adult
Movie,The Day I lost My Shadow,2018,adult
Movie,Baggio: The Divine Ponytail,2021,adult
TV Show,JoJo's Bizarre Adventure,2016,adult
Movie,Home,2015,children
TV Show,Master of None,2021,adult
Movie,99 Songs,2021,teen
Movie,Army of the Dead,2021,adult
TV Show,Jurassic World Camp Cretaceous,2021,children
TV Show,The Neighbor,2021,adult
Movie,Asmaa,2011,teen
Movie,Hating Peter Tatchell,2020,adult
TV Show,Special,2021,adult
Movie,Spy Kids: All the Time in the World,2011,children
Movie,Sabotage,2014,adult
Movie,Small Town Crime,2017,adult
Movie,The Last Days,1998,teen
TV Show,The Magic School Bus,1997,children
TV Show,Who Killed Sara?,2021,adult
Movie,Amy Tan: Unintended Memoir,2021,teen
Movie,Sardar Ka Grandson,2021,teen
Movie,Sleight,2016,adult
Movie,Ahaan,2021,adult
TV Show,Booba: Food Puzzle,2021,children
TV Show,Alma Matters,2021,adult
Movie,Cinema Bandi,2021,adult
Movie,Ferry,2021,adult
TV Show,Halston,2021,adult
TV Show,Haunted,2021,adult
Movie,I Am All Girls,2021,adult
Movie,Jungle Beat: The Movie,2021,children
TV Show,"Love, Death & Robots",2021,adult
TV Show,Move to Heaven,2021,adult
Movie,Table Manners,2018,adult
Movie,The Strange House,2020,adult
Movie,The Woman in the Window,2021,adult
TV Show,Castlevania,2021,adult
Movie,Layer Cake,2004,adult
Movie,Tottaa Pataaka Item Maal,2018,adult
Movie,Dance of the Forty One,2021,adult
Movie,Oxygen,2021,teen
TV Show,The Upshaws,2021,teen
Movie,Illegal Woman,2020,adult
TV Show,"Money, Explained",2021,teen
Movie,Deadly Switch,2019,children
TV Show,Mine,2021,teen
Movie,Nayattu,2021,adult
Movie,Sleepless,2017,adult
Movie,Super Me,2021,teen
Movie,Have You Ever Seen Fireflies? - Theatre Play,1999,adult
Movie,In Our Mothers' Gardens,2020,adult
TV Show,Jupiter's Legacy,2021,adult
Movie,Milestone,2021,teen
Movie,Monster,2021,adult
TV Show,Sab Jholmaal Hai,2017,children
Movie,Time to Dance,2020,children
Movie,Unrest,2017,adult
Movie,And Tomorrow the Entire World,2020,adult
Movie,Dead Man Down,2013,adult
Movie,Framing John DeLorean,2019,adult
TV Show,Lava Ka Dhaava,2021,children
TV Show,The Sons of Sam: A Descent into Darkness,2021,adult
TV Show,Selena: The Series,2020,children
TV Show,StartUp,2018,adult
Movie,The Clovehitch Killer,2018,adult
Movie,Aliens Stole My Body,2020,children
Movie,Au coeur des gangs,2006,adult
Movie,Best of the Best,1989,teen
Movie,Due Date,2010,adult
Movie,Fun with Dick & Jane,2005,teen
Movie,Green Zone,2010,adult
Movie,Hachi: A Dog's Tale,2009,children
Movie,JT LeRoy,2018,adult
Movie,Madagascar 3: Europe's Most Wanted,2012,children
Movie,Mystic River,2003,adult
Movie,Never Back Down,2008,teen
Movie,S.M.A.R.T Chase,2018,adult
Movie,Sitting in Limbo,2020,adult
Movie,Stargate,1994,teen
Movie,State of Play,2009,teen
Movie,Swiped,2018,teen
Movie,The Darkest Hour,2011,teen
Movie,The Lovely Bones,2009,teen
Movie,The Sweetest Thing,2002,adult
Movie,The Whole Nine Yards,2000,adult
Movie,The Whole Truth,2016,adult
Movie,The Yeti Adventures,2018,children
Movie,Under Siege,1992,adult
Movie,Zack and Miri Make a Porno,2008,adult
Movie,The Disciple,2021,adult
Movie,The Strangers: Prey at Night,2018,adult
Movie,Get the Grift,2021,adult
TV Show,Sexify,2021,adult
Movie,August: Osage County,2014,adult
Movie,Battle: Los Angeles,2011,teen
Movie,Between Worlds,2018,adult
TV Show,Fatma,2021,adult
Movie,One,2020,children
Movie,Ram Prasad Ki Tehrvi,2019,teen
Movie,Shadow and Bone - The Afterparty,2021,teen
Movie,Among Family,2017,teen
Movie,Dedemin Fisi,2016,teen
Movie,Deliha,2014,adult
Movie,Düğün Dernek,2013,adult
Movie,Dügün Dernek 2: Sünnet,2015,adult
Movie,G.O.R.A,2004,adult
Movie,Hayat Öpücügü,2015,teen
Movie,Heroes: Silence and Rock & Roll,2021,adult
Movie,Kara Bela,2015,adult
Movie,Kocan Kadar Konus,2015,adult
Movie,Kocan Kadar Konus 2: Dirilis,2016,teen
TV Show,Let's Fight Ghost,2021,teen
Movie,My Travel Buddy,2017,adult
Movie,Niyazi Gül Dörtnala,2015,adult
Movie,One Like It,2020,children
TV Show,Shadow and Bone,2021,teen
Movie,This Lady Called Life,2020,teen
Movie,Vizontele,2001,adult
Movie,HOMUNCULUS,2021,adult
TV Show,Life in Color with David Attenborough,2021,children
Movie,Searching For Sheela,2021,teen
Movie,Stowaway,2021,adult
Movie,Oloibiri,2015,teen
Movie,Tell Me When,2021,adult
TV Show,Zero,2021,adult
TV Show,Izzy's Koala World,2021,children
Movie,Free to Play,2014,teen
TV Show,Luis Miguel - The Series,2021,adult
Movie,Miss Sloane,2016,adult
TV Show,PJ Masks,2019,children
Movie,American Me,1992,adult
Movie,Delhi Belly,2011,adult
Movie,Dhobi Ghat (Mumbai Diaries),2010,adult
Movie,Jaane Tu... Ya Jaane Na,2008,teen
Movie,Lagaan,2001,children
Movie,Madness in the Desert,2004,teen
Movie,Peepli Live,2010,adult
Movie,Taare Zameen Par,2007,children
Movie,Ajeeb Daastaans,2021,adult
Movie,Arlo the Alligator Boy,2021,children
Movie,Barbie & Chelsea: The Lost Birthday,2021,children
Movie,Crimson Peak,2015,adult
Movie,Doctor Bello,2013,adult
Movie,Four Sisters Before the Wedding,2020,adult
Movie,Into the Beat,2020,teen
TV Show,Love Naggers,2021,teen
Movie,Rush,2013,adult
Movie,Synchronic,2020,adult
Movie,The Zookeeper's Wife,2017,teen
